Group,Ind,P1,P2,P3,P4
G1,G958,0.992,0.003,0.002,0.003
G1,G681,0.881,0.01,0.071,0.038
G1,G890,0.728,0.034,0.037,0.202
G1,G680,0.99,0.003,0.003,0.004
G1,G924,0.91,0.015,0.054,0.02
G1,G669,0.962,0.004,0.013,0.02
G1,G894,0.827,0.013,0.137,0.023
G1,G996,0.977,0.006,0.013,0.005
G1,G895,0.8,0.032,0.161,0.007
G1,G665,0.721,0.017,0.184,0.078
G2,G892,0.787,0.016,0.046,0.15
G2,G999,0.985,0.004,0.005,0.006
G2,G851,0.767,0.08,0.121,0.032
G2,G661,0.951,0.035,0.009,0.004
G2,G893,0.779,0.177,0.038,0.006
G2,G468,0.002,0.005,0.006,0.988
G2,G33,0.003,0.824,0.154,0.019
G2,G49,0.033,0.113,0.802,0.052
G2,G891,0.62,0.013,0.358,0.008
