Group,Ind,P1,P2,P3,P4
A,G958,0.992,0.003,0.002,0.003
A,G681,0.881,0.01,0.071,0.038
A,G890,0.728,0.034,0.037,0.202
A,G680,0.99,0.003,0.003,0.004
A,G924,0.91,0.015,0.054,0.02
A,G669,0.962,0.004,0.013,0.02
A,G894,0.827,0.013,0.137,0.023
A,G996,0.977,0.006,0.013,0.005
A,G895,0.8,0.032,0.161,0.007
A,G665,0.721,0.017,0.184,0.078
A,G892,0.787,0.016,0.046,0.15
A,G999,0.985,0.004,0.005,0.006
A,G851,0.767,0.08,0.121,0.032
A,G661,0.951,0.035,0.009,0.004
A,G893,0.779,0.177,0.038,0.006
A,G468,0.002,0.005,0.006,0.988
A,G33,0.003,0.824,0.154,0.019
A,G49,0.033,0.113,0.802,0.052
A,G891,0.62,0.013,0.358,0.008
A,G48,0.043,0.012,0.917,0.028
A,G792,0.002,0.314,0.026,0.657
A,G22,0.022,0.01,0.618,0.35
A,G418,0.012,0.011,0.031,0.946
A,G853,0.602,0.077,0.314,0.008
A,G878,0.877,0.023,0.05,0.05
A,G968,0.969,0.013,0.012,0.007
A,G830,0.003,0.009,0.889,0.098
A,G50,0.191,0.031,0.691,0.087
A,G984,0.99,0.003,0.004,0.003
A,G889,0.812,0.096,0.072,0.021
A,G900,0.538,0.011,0.442,0.01
A,G247,0.991,0.003,0.003,0.003
A,G838,0.004,0.026,0.655,0.315
A,G929,0.612,0.348,0.02,0.02
A,G281,0.985,0.004,0.005,0.006
A,G1011,0.992,0.002,0.003,0.003
A,G762,0.002,0.988,0.004,0.005
A,G736,0.003,0.005,0.008,0.984
A,G246,0.991,0.003,0.003,0.003
A,G1009,0.509,0.02,0.458,0.013
A,G632,0.007,0.835,0.114,0.044
A,G451,0.003,0.022,0.031,0.944
A,G1007,0.985,0.005,0.005,0.005
A,G1010,0.853,0.07,0.059,0.017
A,G44,0.541,0.01,0.362,0.087
B,G888,0.667,0.015,0.312,0.005
B,G917,0.921,0.014,0.055,0.01
B,G998,0.987,0.003,0.002,0.007
B,G21,0.045,0.025,0.774,0.155
B,G274,0.765,0.008,0.217,0.009
B,G940,0.007,0.933,0.013,0.048
B,G426,0.007,0.013,0.573,0.406
B,G875,0.779,0.015,0.185,0.021
B,G683,0.992,0.003,0.002,0.003
B,G268,0.009,0.384,0.578,0.03
B,G941,0.003,0.99,0.004,0.003
B,G912,0.868,0.009,0.117,0.005
B,G977,0.992,0.003,0.002,0.002
B,G1008,0.674,0.022,0.289,0.016
B,G282,0.977,0.003,0.013,0.007
B,G978,0.989,0.005,0.003,0.003
B,G23,0.102,0.827,0.025,0.046
B,G877,0.542,0.131,0.319,0.008
B,G608,0.901,0.017,0.076,0.006
B,G715,0.599,0.01,0.37,0.021
B,G951,0.986,0.005,0.004,0.004
B,G425,0.003,0.143,0.037,0.817
B,G739,0.018,0.036,0.014,0.932
B,G677,0.956,0.006,0.007,0.031
B,G887,0.936,0.04,0.02,0.005
B,G972,0.991,0.003,0.002,0.004
